point,test_delay_days,optimal_gap_days,source
1,5.78738e-05,0.000289189,Cepeda et al. (2006) meta-analysis
2,0.000115913,0.000231464,Cepeda et al. (2006) meta-analysis
3,0.000173333,0.000277836,Cepeda et al. (2006) meta-analysis
4,0.00018486,0.000185558,Cepeda et al. (2006) meta-analysis
5,0.000242737,0.000277836,Cepeda et al. (2006) meta-analysis
6,0.000289394,0.000173485,Cepeda et al. (2006) meta-analysis
7,0.000289394,0.000405478,Cepeda et al. (2006) meta-analysis
8,0.000347161,0.000104408,Cepeda et al. (2006) meta-analysis
9,0.000373007,0.000532392,Cepeda et al. (2006) meta-analysis
10,0.000416459,0.000138856,Cepeda et al. (2006) meta-analysis
11,0.000463249,0.000695677,Cepeda et al. (2006) meta-analysis
12,0.00052107,0.000347127,Cepeda et al. (2006) meta-analysis
13,0.000692734,0.000231464,Cepeda et al. (2006) meta-analysis
14,0.000762969,0.000138856,Cepeda et al. (2006) meta-analysis
15,0.000808684,0.00121869,Cepeda et al. (2006) meta-analysis
16,0.000808684,0.00121869,Cepeda et al. (2006) meta-analysis
17,0.000970109,6.96193e-05,Cepeda et al. (2006) meta-analysis
18,0.00114517,0.000173485,Cepeda et al. (2006) meta-analysis
19,0.00115657,9.25889e-05,Cepeda et al. (2006) meta-analysis
20,0.0013319,0.000231464,Cepeda et al. (2006) meta-analysis
21,0.00150185,0.00115965,Cepeda et al. (2006) meta-analysis
22,0.00173595,0.000928171,Cepeda et al. (2006) meta-analysis
23,0.00189781,0.000185558,Cepeda et al. (2006) meta-analysis
24,0.00240708,0.000185558,Cepeda et al. (2006) meta-analysis
25,0.0026577,0.00115965,Cepeda et al. (2006) meta-analysis
26,0.00346397,0.000138856,Cepeda et al. (2006) meta-analysis
27,0.00346397,0.00139198,Cepeda et al. (2006) meta-analysis
28,0.00485096,0.00243847,Cepeda et al. (2006) meta-analysis
29,0.00693781,0.000371284,Cepeda et al. (2006) meta-analysis
30,0.0083227,0.00139198,Cepeda et al. (2006) meta-analysis
31,0.0831465,0.000277836,Cepeda et al. (2006) meta-analysis
32,0.998946,0.00104164,Cepeda et al. (2006) meta-analysis
33,0.998946,0.998515,Cepeda et al. (2006) meta-analysis
34,6.99525,0.00139198,Cepeda et al. (2006) meta-analysis
35,6.99525,0.0111151,Cepeda et al. (2006) meta-analysis
36,6.99525,0.998515,Cepeda et al. (2006) meta-analysis
37,6.99525,0.998515,Cepeda et al. (2006) meta-analysis
38,6.99525,0.998515,Cepeda et al. (2008)
39,10.0046,0.998515,"Cepeda et al. (2009), Exp. 1"
40,12.0016,2.00113,Cepeda et al. (2006) meta-analysis
41,13.9758,7.0143,Cepeda et al. (2006) meta-analysis
42,27.9914,0.998515,Cepeda et al. (2006) meta-analysis
43,34.9793,7.0143,Cepeda et al. (2008)
44,69.885,21.0481,Cepeda et al. (2008)
45,167.909,27.9925,"Cepeda et al. (2009), Exps. 2a & 2b (coincident)"
46,349.455,69.9785,Cepeda et al. (2008)
