point,variable,value
1,test_delay_days,0.0000586
1,optimal_gap_days,0.000283
2,test_delay_days,0.000117
2,optimal_gap_days,0.000227
3,test_delay_days,0.000175
3,optimal_gap_days,0.000269
4,test_delay_days,0.000187
4,optimal_gap_days,0.000181
5,test_delay_days,0.000247
5,optimal_gap_days,0.000271
6,test_delay_days,0.000292
6,optimal_gap_days,0.000169
7,test_delay_days,0.000293
7,optimal_gap_days,0.000394
8,test_delay_days,0.000353
8,optimal_gap_days,0.000102
9,test_delay_days,0.000378
9,optimal_gap_days,0.000519
10,test_delay_days,0.000422
10,optimal_gap_days,0.000135
11,test_delay_days,0.000468
11,optimal_gap_days,0.000676
12,test_delay_days,0.000528
12,optimal_gap_days,0.000338
13,test_delay_days,0.000705
13,optimal_gap_days,0.000225
14,test_delay_days,0.000776
14,optimal_gap_days,0.000135
15,test_delay_days,0.000817
15,optimal_gap_days,0.00118
16,test_delay_days,0.000987
16,optimal_gap_days,0.0000681
17,test_delay_days,0.00116
17,optimal_gap_days,0.00017
18,test_delay_days,0.00117
18,optimal_gap_days,0.00009
19,test_delay_days,0.00135
19,optimal_gap_days,0.000227
20,test_delay_days,0.00151
20,optimal_gap_days,0.00113
21,test_delay_days,0.00176
21,optimal_gap_days,0.000899
22,test_delay_days,0.00191
22,optimal_gap_days,0.000181
23,test_delay_days,0.00244
23,optimal_gap_days,0.000181
24,test_delay_days,0.0027
24,optimal_gap_days,0.00113
25,test_delay_days,0.00349
25,optimal_gap_days,0.00135
26,test_delay_days,0.00351
26,optimal_gap_days,0.000135
27,test_delay_days,0.00492
27,optimal_gap_days,0.00237
28,test_delay_days,0.00705
28,optimal_gap_days,0.000361
29,test_delay_days,0.00842
29,optimal_gap_days,0.00136
30,test_delay_days,0.0846
30,optimal_gap_days,0.00027
31,test_delay_days,1
31,optimal_gap_days,1
32,test_delay_days,1
32,optimal_gap_days,0.001
33,test_delay_days,7.07
33,optimal_gap_days,1
34,test_delay_days,7.09
34,optimal_gap_days,0.00135
35,test_delay_days,7.09
35,optimal_gap_days,0.0108
36,test_delay_days,10.2
36,optimal_gap_days,1
37,test_delay_days,12.2
37,optimal_gap_days,1.97
38,test_delay_days,14.1
38,optimal_gap_days,6.88
39,test_delay_days,28.4
39,optimal_gap_days,1
40,test_delay_days,170
40,optimal_gap_days,27.5
